SampleID,Condition,Time,Line,Group
KCL_C9_Line1_1_0,C9,0,C9_Line1,C9_0
KCL_C9_Line1_1_2,C9,2,C9_Line1,C9_2
KCL_C9_Line1_1_6,C9,6,C9_Line1,C9_6
KCL_C9_Line1_2_0,C9,0,C9_Line1,C9_0
KCL_C9_Line1_2_2,C9,2,C9_Line1,C9_2
KCL_C9_Line1_2_6,C9,6,C9_Line1,C9_6
KCL_C9_Line3_1_0,C9,0,C9_Line3,C9_0
KCL_C9_Line3_1_2,C9,2,C9_Line3,C9_2
KCL_C9_Line3_1_6,C9,6,C9_Line3,C9_6
KCL_C9_Line3_2_0,C9,0,C9_Line3,C9_0
KCL_C9_Line3_2_2,C9,2,C9_Line3,C9_2
KCL_C9_Line3_2_6,C9,6,C9_Line3,C9_6
KCL_C9_Line3_3_0,C9,0,C9_Line3,C9_0
KCL_C9_Line3_3_2,C9,2,C9_Line3,C9_2
KCL_C9_Line3_3_6,C9,6,C9_Line3,C9_6
KCL_WT_Line1_1_0,WT,0,WT_Line1,WT_0
KCL_WT_Line1_1_2,WT,2,WT_Line1,WT_2
KCL_WT_Line1_1_6,WT,6,WT_Line1,WT_6
KCL_WT_Line1_2_0,WT,0,WT_Line1,WT_0
KCL_WT_Line1_2_2,WT,2,WT_Line1,WT_2
KCL_WT_Line1_2_6,WT,6,WT_Line1,WT_6
KCL_WT_Line3_1_0,WT,0,WT_Line3,WT_0
KCL_WT_Line3_1_2,WT,2,WT_Line3,WT_2
KCL_WT_Line3_1_6,WT,6,WT_Line3,WT_6
KCL_WT_Line3_2_0,WT,0,WT_Line3,WT_0
KCL_WT_Line3_2_2,WT,2,WT_Line3,WT_2
KCL_WT_Line3_2_6,WT,6,WT_Line3,WT_6
KCL_WT_Line3_3_0,WT,0,WT_Line3,WT_0
KCL_WT_Line3_3_2,WT,2,WT_Line3,WT_2
KCL_WT_Line3_3_6,WT,6,WT_Line3,WT_6
KCL_C9_Line2_1_0,C9,0,C9_Line2,C9_0
KCL_C9_Line2_1_2,C9,2,C9_Line2,C9_2
KCL_C9_Line2_1_6,C9,6,C9_Line2,C9_6
KCL_C9_Line2_2_0,C9,0,C9_Line2,C9_0
KCL_C9_Line2_2_2,C9,2,C9_Line2,C9_2
KCL_C9_Line2_2_6,C9,6,C9_Line2,C9_6
KCL_WT_Line2_1_0,WT,0,WT_Line2,WT_0
KCL_WT_Line2_1_2,WT,2,WT_Line2,WT_2
KCL_WT_Line2_1_6,WT,6,WT_Line2,WT_6
KCL_WT_Line2_2_0,WT,0,WT_Line2,WT_0
KCL_WT_Line2_2_2,WT,2,WT_Line2,WT_2
KCL_WT_Line2_2_6,WT,6,WT_Line2,WT_6
C9_Line1_1_TEA,C9,NA,C9_Line1,C9_TEA
C9_Line1_1_TTX,C9,NA,C9_Line1,C9_TTX
C9_Line1_1_UT,C9,NA,C9_Line1,C9_UT
C9_Line1_2_TEA,C9,NA,C9_Line1,C9_TEA
C9_Line1_2_TTX,C9,NA,C9_Line1,C9_TTX
C9_Line1_2_UT,C9,NA,C9_Line1,C9_UT
C9_Line2_1_TEA,C9,NA,C9_Line2,C9_TEA
C9_Line2_1_TTX,C9,NA,C9_Line2,C9_TTX
C9_Line2_1_UT,C9,NA,C9_Line2,C9_UT
C9_Line2_2_TEA,C9,NA,C9_Line2,C9_TEA
C9_Line2_2_TTX,C9,NA,C9_Line2,C9_TTX
C9_Line2_2_UT,C9,NA,C9_Line2,C9_UT
C9_Line3_1_TEA,C9,NA,C9_Line3,C9_TEA
C9_Line3_1_TTX,C9,NA,C9_Line3,C9_TTX
C9_Line3_1_UT,C9,NA,C9_Line3,C9_UT
C9_Line3_2_TEA,C9,NA,C9_Line3,C9_TEA
C9_Line3_2_TTX,C9,NA,C9_Line3,C9_TTX
C9_Line3_2_UT,C9,NA,C9_Line3,C9_UT
WT_Line1_1_TEA,WT,NA,WT_Line1,WT_TEA
WT_Line1_1_TTX,WT,NA,WT_Line1,WT_TTX
WT_Line1_1_UT,WT,NA,WT_Line1,WT_UT
WT_Line1_2_TEA,WT,NA,WT_Line1,WT_TEA
WT_Line1_2_TTX,WT,NA,WT_Line1,WT_TTX
WT_Line1_2_UT,WT,NA,WT_Line1,WT_UT
WT_Line2_1_TEA,WT,NA,WT_Line2,WT_TEA
WT_Line2_1_TTX,WT,NA,WT_Line2,WT_TTX
WT_Line2_1_UT,WT,NA,WT_Line2,WT_UT
WT_Line2_2_TEA,WT,NA,WT_Line2,WT_TEA
WT_Line2_2_TTX,WT,NA,WT_Line2,WT_TTX
WT_Line2_2_UT,WT,NA,WT_Line2,WT_UT
WT_Line3_1_TEA,WT,NA,WT_Line3,WT_TEA
WT_Line3_1_TTX,WT,NA,WT_Line3,WT_TTX
WT_Line3_1_UT,WT,NA,WT_Line3,WT_UT
WT_Line3_2_TEA,WT,NA,WT_Line3,WT_TEA
WT_Line3_2_TTX,WT,NA,WT_Line3,WT_TTX
WT_Line3_2_UT,WT,NA,WT_Line3,WT_UT
